scenario,ev_background_load_mbps,traffic_class,pdr,deadline_violation_rate,deadline_penalized_mean_ms,mean_delay_ms,delay_p95_ms,throughput_mbps
baseline,15.0,DIAG_TOTAL,"0.980 [0.942, 1.000]","0.021 [0.000, 0.060]","28.24 [5.141, 67.33]","110.7 [5.146, 315.7]","157.4 [8.140, 448.8]","0.091 [0.088, 0.093]"
baseline,15.0,EV_BACKGROUND_TOTAL,"0.986 [0.960, 1.000]","0.000 [0.000, 0.000]","62.03 [5.130, 169.4]","139.5 [5.131, 403.5]","157.7 [8.150, 446.2]","15.12 [14.71, 15.35]"
baseline,15.0,FAULT_TOTAL,"0.984 [0.954, 1.000]","0.064 [0.006, 0.140]","50.29 [5.305, 135.0]","152.2 [5.305, 441.6]","157.7 [8.220, 446.1]","0.852 [0.824, 0.868]"
baseline,15.0,TOTAL,"0.984 [0.953, 1.000]","0.057 [0.005, 0.124]","50.00 [5.262, 133.7]","149.2 [5.264, 431.2]","157.6 [8.190, 446.0]","0.974 [0.941, 0.992]"
baseline,20.0,ALERT_TOTAL,"0.992 [0.978, 1.000]","0.041 [0.000, 0.101]","150.2 [4.828, 395.1]","197.1 [4.826, 531.8]","199.4 [6.900, 534.0]","0.030 [0.030, 0.031]"
baseline,20.0,DIAG_TOTAL,"0.967 [0.916, 1.000]","0.036 [0.000, 0.091]","34.04 [5.002, 79.79]","145.1 [5.002, 394.6]","200.1 [6.830, 534.6]","0.090 [0.085, 0.093]"
baseline,20.0,EV_BACKGROUND_TOTAL,"0.983 [0.952, 1.000]","0.000 [0.000, 0.000]","82.23 [4.933, 199.1]","180.6 [4.932, 487.7]","200.5 [7.060, 534.9]","20.09 [19.42, 20.47]"
baseline,20.0,FAULT_TOTAL,"0.979 [0.944, 1.000]","0.057 [0.002, 0.122]","74.86 [5.025, 181.6]","197.2 [5.024, 531.7]","199.3 [7.090, 533.8]","0.848 [0.814, 0.868]"
baseline,20.0,TOTAL,"0.978 [0.941, 1.000]","0.053 [0.002, 0.116]","72.56 [5.010, 173.9]","193.7 [5.010, 522.6]","199.4 [7.042, 533.8]","0.968 [0.929, 0.992]"
baseline,22.0,ALERT_TOTAL,"0.991 [0.977, 1.000]","0.111 [0.039, 0.197]","187.0 [14.18, 432.8]","236.3 [14.15, 588.4]","260.1 [34.61, 611.6]","0.030 [0.029, 0.031]"
