scenario,ev_background_load_mbps,traffic_class,n_seeds,qfi,five_qi,rule_precedence,latency_deadline_ms,pdr_target,pdr_mean,pdr_ci_low,pdr_ci_high,pdr_sd,deadline_violation_rate_mean,deadline_violation_rate_ci_low,deadline_violation_rate_ci_high,deadline_violation_rate_sd,deadline_penalized_mean_ms_mean,deadline_penalized_mean_ms_ci_low,deadline_penalized_mean_ms_ci_high,deadline_penalized_mean_ms_sd,mean_delay_ms_mean,mean_delay_ms_ci_low,mean_delay_ms_ci_high,mean_delay_ms_sd,delay_p95_ms_mean,delay_p95_ms_ci_low,delay_p95_ms_ci_high,delay_p95_ms_sd,throughput_mbps_mean,throughput_mbps_ci_low,throughput_mbps_ci_high,throughput_mbps_sd
baseline,26.0,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.98266774,0.9630202,0.9959021200000001,0.0628717847777133,0.26907962,0.15709388000000002,0.38881459999999995,0.42584016320684964,395.5119584,186.9501724,648.4018044,837.8486760209195,472.08035839999997,201.10665219999998,825.8157623999998,1176.8855778924142,515.66,232.32,877.27,1190.6609324322387,0.029645380000000002,0.028743131999999994,0.030366122000000006,0.0030047924953314166
baseline,26.0,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.8547333260000001,0.7691667059999999,0.93173332,0.2970782560738039,0.21703336,0.1224667,0.31903338000000003,0.3573646111907854,138.2127022,78.3706976,203.0618732,229.11890075889977,340.1346022,142.76881640000002,624.0869098,901.6474978006677,548.62,265.59,920.91,1199.7785714498339,0.0795949982,0.071622128,0.08674976000000001,0.02774337739717205
baseline,26.0,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.96210022,0.9226597599999999,0.9893733000000001,0.1223474951785316,0.0,0.0,0.0,0.0,308.90905039999996,166.855239,465.32552499999997,553.7345408106822,451.8038504,200.6449322,782.4339890000001,1088.3081110469107,548.77,266.21,909.79,1200.0682589429857,25.4377666,24.3920598,26.207446,3.40491971984573
baseline,26.0,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.95025084,0.90863766,0.98200952,0.13605491051362986,0.29927314,0.17950004,0.43868556,0.4617939535421421,332.7956646,177.92086779999997,497.6399682,581.97066823067,510.8446646,235.21270279999996,877.7298727999998,1186.9327710460975,548.94,261.41,911.18,1200.1316589764438,0.81433414,0.7754578200000001,0.8445599800000001,0.1295548464467352
baseline,26.0,TOTAL,50,-1,AGGREGATE,0,0,0,0.93693978,0.8915282000000001,0.9743122200000001,0.15188759015520226,0.28469382,0.16985568,0.4080016800000001,0.44007854846637673,305.5569096,165.73559880000005,459.09479559999994,534.5726156863767,496.9669096,225.916868,864.5124949999997,1167.1794973825013,547.070234,259.596034,914.094994,1199.4029812315653,0.92357446,0.87713612,0.9619322800000001,0.157276001569866
baseline,26.5,ALERT_TOTAL,50,1,DEFAULT_QOS_FLOW,50,50,0.99,0.98257798,0.96477152,0.99467604,0.05517732780900548,0.28691822,0.17014926000000002,0.4136203,0.4445295528521705,439.8291218,220.18678260000002,701.6943084,891.6571037568596,509.70472179999996,230.94876499999998,868.69511,1185.853179763721,555.9,267.38,926.71,1199.7536662556518,0.029581416,0.028741864000000002,0.030291302,0.0028599721253358325
baseline,26.5,DIAG_TOTAL,50,1,DEFAULT_QOS_FLOW,90,300,0.95,0.84366668,0.75386672,0.92313334,0.30761791687100865,0.23706664,0.13829998,0.34153332,0.37491001759305237,161.547238,96.2410886,232.5623422,248.40278043340726,378.37075799999997,171.4994578,677.3340018,924.0043518984895,600.9,304.75,959.23,1209.0187548130905,0.0784991362,0.0699121044,0.085934846,0.028662210921536826
baseline,26.5,EV_BACKGROUND_TOTAL,50,1,DEFAULT_QOS_FLOW,255,0,0,0.95877204,0.9202153799999999,0.9868473600000002,0.12482534342750388,0.0,0.0,0.0,0.0,339.8182974,194.17223099999998,500.0541392,562.5385547521879,488.8150974,231.51882980000002,829.9896048,1094.7092067557512,601.05,313.6,975.03,1209.317892576688,25.811128800000002,24.6872156,26.615514000000005,3.537348428563948
baseline,26.5,FAULT_TOTAL,50,1,DEFAULT_QOS_FLOW,10,10,0.9999,0.9458233199999999,0.9018794199999999,0.9782086600000001,0.138929164901331,0.3,0.18,0.44,0.4629100498862757,365.39218800000003,209.3197466,538.8625543999999,593.6516293723367,551.432988,269.6838638,916.2122752,1194.2800343525737,596.08,307.96,955.65,1207.167052208921,0.80936642,0.7701326800000001,0.84057602,0.13214941330409272
baseline,26.5,TOTAL,50,-1,AGGREGATE,0,0,0,0.9317006999999999,0.88619972,0.9697619800000001,0.1553557473577062,0.28937506,0.17293661999999999,0.42026798,0.4467690049551202,337.34853239999995,194.24584019999998,493.7232170000001,547.6043061633974,537.2949324,261.45128579999994,900.4902743999999,1174.9728695607882,594.7277176,302.8352176,962.1269162,1206.674650963744,0.9174469000000001,0.8690139600000001,0.9568219,0.16049093961421965
