ev_background_load_mbps,traffic_class,n_pairs,metric,baseline_mean,qos_aware_mean,paired_effect_mean,paired_effect_ci_low,paired_effect_ci_high,paired_effect_sd,effect_definition
24.0,ALERT_TOTAL,50,pdr_gain,0.9883163,1.0,0.011683700000000003,0.0013650800000000029,0.028454140000000003,0.05238264567943806,QoS-aware PDR - baseline PDR
24.0,ALERT_TOTAL,50,deadline_violation_reduction,0.16,0.0,0.16,0.06,0.28,0.3703280399090206,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.0,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,313.8203762,2.932987,310.8873892,105.5546144,575.0043404,848.3399711770276,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
24.0,DIAG_TOTAL,50,pdr_gain,0.9161333460000001,0.91616668,3.3333999999999034e-05,-0.0021333380000000033,0.0024666479999999966,0.008285466606042218,QoS-aware PDR - baseline PDR
24.0,DIAG_TOTAL,50,deadline_violation_reduction,0.135,0.13506668,-6.668000000000118e-05,-0.0008667199999999986,0.0005999999999999939,0.00260730667540123,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.0,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,117.57080680000001,120.57599420000001,-3.0051873999999983,-12.586539199999999,8.0815324,37.76571751026389,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
24.0,FAULT_TOTAL,50,pdr_gain,0.9663056600000001,1.0,0.03369434,0.00792866,0.0714901,0.11947057388850775,QoS-aware PDR - baseline PDR
24.0,FAULT_TOTAL,50,deadline_violation_reduction,0.16,8.670642e-05,0.15991329358,0.059920102759999996,0.25993997872,0.3703477648247214,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.0,FAULT_TOTAL,50,deadline_penalized_delay_reduction_ms,248.53083320000002,3.0801314000000004,245.4507018,98.24705239999999,411.4297843999999,575.6832173450013,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
24.5,ALERT_TOTAL,50,pdr_gain,0.98782788,1.0,0.012172119999999998,0.0019230599999999986,0.028931179999999994,0.05132674621168951,QoS-aware PDR - baseline PDR
24.5,ALERT_TOTAL,50,deadline_violation_reduction,0.16,0.0,0.16,0.06,0.26,0.3703280399090206,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.5,ALERT_TOTAL,50,deadline_penalized_delay_reduction_ms,335.448115,2.9324527999999996,332.5156622,115.38826699999998,595.4176778,873.8534953206255,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
24.5,DIAG_TOTAL,50,pdr_gain,0.898666666,0.897099994,-0.0015666719999999973,-0.003800023999999994,0.0002666800000000008,0.0074567442706569625,QoS-aware PDR - baseline PDR
24.5,DIAG_TOTAL,50,deadline_violation_reduction,0.13973333999999998,0.13976668,-3.333999999999948e-05,-0.0004000199999999987,0.00030000000000000024,0.0011900378249862288,baseline deadline-violation rate - QoS-aware deadline-violation rate
24.5,DIAG_TOTAL,50,deadline_penalized_delay_reduction_ms,107.81548199999999,107.3949468,0.4205351999999985,-6.741048800000001,10.809822999999996,33.33237649502144,baseline deadline-penalized delay - QoS-aware deadline-penalized delay
24.5,FAULT_TOTAL,50,pdr_gain,0.95993474,1.0,0.04006526,0.01125312,0.07968726,0.1274409807564094,QoS-aware PDR - baseline PDR
